"Transaction Hash","Status","Type","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x1d73f1f24edff47571ee9c114fdfc63970b92e049eae1d0ca12dc5741ac9da11 ","Success","Tx","10421777","26 days ago","0x3C41943E2F92FE316Ef7Ab82Ef6390079Ff0fdE7"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00010967"
" 0x577f3f3415641a270060b3efaad11c9d7e7264cb81e9320f2b285254164c55a6 ","Error in Txn","Tx","10421744","26 days ago","0x3C41943E2F92FE316Ef7Ab82Ef6390079Ff0fdE7"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.0155736"
"0x1016167977e6a20b5ae14e04ef8d4e014ffa0c586ae359fede52dc23c36401cc ","Success","Tx","9178839","55 days ago","0x3C41943E2F92FE316Ef7Ab82Ef6390079Ff0fdE7"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000052"
"0x0d6777e4b3c1bc3b615a8ceadd3b5ea8d66b29694bd8f17bb068a03285cd1639 ","Success","Tx","9154565","55 days ago","0x3C41943E2F92FE316Ef7Ab82Ef6390079Ff0fdE7"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000001"
"0x4b9f569cdd6cec615d94f85d0f3c3f35f1b50ac514bb31607a0005a956612200 ","Success","Tx","4899546","150 days ago","0x25Db7Aa5E09FdB3eBF573ef2216310b470beb76E"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000015"
"0x0b69f219b5e40ea1dcaf469fe634fb39b2444857a676fd6dd570a7efadac2797 ","Success","Tx","4897133","151 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000009"
"0x14cfec0bd8f8663455c0fdc3ec5eef59e430784f250b4529fafa3039bd3a01ec ","Success","Tx","4897101","151 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00002542"
"0xb022c91080c94fff31818ee57be8412d6588072f134e48f81ab9c8c600d3006b ","Success","Tx","4897001","151 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000093"
"0x32b3e0143f41df1571a522bbba766b6c638eec19ad05f50bec5bf87b59033f97 ","Success","Tx","4721640","155 days ago","0xd9ea18b257e611eC326CfC5e39396deE128bE852"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00005852"
"0xaff360be1b3aba185abe4fb660bc198fb496177c10165a3d0a53b05c2b6271ea ","Success","Tx","4685964","155 days ago","0x374334e22B5d6898AF77AC4d907d8b9Aca206605"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0"
"0x383b8b440b2bac000f74041080789579a7fb95bfc0a8d12e94f249681924fb01 ","Success","Tx","4672042","156 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0"
"0x81d51cfc6a477e0875484e1008f2bd1517096f911b12ef41ccdfc265abb05bd9 ","Success","Tx","4664547","156 days ago","","jaspergb.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00004391"
"0x6bae4fb31d963d5d867fe0d5e28fd4beea7dc8068467f04345b3dca5ab4c2538 ","Success","Tx","4642644","156 days ago","","cucamines.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.0000191"
"0x60a078a7103024be9b6029ccb0b1c5f9608e7cb4b59fd801c7905ac557a08baf ","Success","Tx","4641059","156 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000001"
"0xd8a7c2645a1f0f863956f0f88aece8e348679ed8fa2f68668c5a0f96059eee95 ","Success","Tx","4638870","156 days ago","0x38d627B9DC484faA8F8973700C64328A6c8cC717"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000516"
"0x30401485f2e424d2b7c862783ac2d07b3f56eae44600c42e8701aa888651c6c1 ","Success","Tx","4635067","157 days ago","0x374334e22B5d6898AF77AC4d907d8b9Aca206605"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00004142"
"0xe32baa0790da332d36272a4ac7a6b459fbc718690d5809ea570a4ce4340012b8 ","Success","Tx","4630315","157 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000001"
"0x63008acf150a656f8b5380711e95824be8f39a94e336753ee4ab5fac0da59956 ","Success","Tx","4594813","157 days ago","0x38d627B9DC484faA8F8973700C64328A6c8cC717"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000239"
